Paragraph_ID,Paragraph,Gold Annotation
P145P6,"Altered abundance of acetyl marks on lysine residues on histone 4 and histone 3 are common in several cancers and have prognostic information. Furthermore, it is possible to differentiate between benign and malignant prostatic tissue based on certain epigenetic characteristics. For example, Seligson et al. have shown stratifying primary prostatectomy tissue samples by overall acetylated H3 and H4 immunostaining predicted tumor recurrence in patients with low-grade prostate cancers. Similarly, acetylation of H3 and trimethylation of H4 have also been used in combination with preoperative serum PSA to predict the likelihood of recurrence in high-grade prostate cancers.","[{'e1': 'stratifying primary prostatectomy tissue samples by overall acetylated H3 and H4 immunostaining ', 'e2': ' tumor recurrence', 'relation': 'predicted', 'condition': ' in patients with low-grade prostate cancers'}, {'e1': 'acetylation of H3 and trimethylation of H4 ', 'e2': 'the likelihood of recurrence', 'relation': 'have also been used to predict ', 'condition': ' in high-grade prostate cancers.'}]"
P12PR1,"MicroRNAs are important epigenetic regulators of protein expression by triggering degradation of target mRNAs and/or inhibiting their translation. Dysregulation of microRNA expression has been reported in several cancers, including prostate cancer (PC). We comprehensively characterized the proteomic footprint of a panel of 12 microRNAs that are potently suppressed in metastatic PC (SiM-miRNAs: miR-1, miR-133a, miR-133b, miR-135a, miR-143-3p, miR-145-3p, miR-205, miR-221-3p, miR-221-5p, miR-222-3p, miR-24-1-5p, and miR-31) using reverse-phase proteomic arrays. Re-expression of these SiM-miRNAs in PC cells suppressed cell proliferation and targeted key oncogenic pathways, including cell cycle, apoptosis, Akt/mammalian target of rapamycin signaling, metastasis and the androgen receptor (AR) axis. However, only 12%, at most, of these observed protein expression changes could be explained by predicted direct binding of miRNAs to corresponding mRNAs, suggesting that the majority of these proteomic effects result indirectly. AR and its steroid receptor coactivators (SRCs; SRC-1, -2 and -3) were recurrently affected by these SiM miRNAs. In agreement, we identified inverse correlations between expression of these SiM-miRNAs and early clinical recurrence, as well as with AR transcriptional activity in human PC tissues. We also identified robust induction of miR-135a by androgen and strong direct binding of AR to the miR-135a locus. As miR-135a potently suppresses AR expression, this results in a negative feedback loop that suppresses AR protein expression in an androgen-dependent manner, while de-repressing AR expression upon androgen deprivation. Our results demonstrate that epigenetic silencing of these SiM-miRNAs can result in increased AR axis activity and cell proliferation, thus contributing to disease progression. We further demonstrate that a negative feedback loop involving miR-135a can restore AR expression under androgen-deprivation conditions, thus contributing to the upregulation of AR protein expression in castration-resistant PC. Finally, our unbiased proteomic profiling demonstrates that the majority of actual protein expression changes induced by SiM-miRNAs cannot be explained based on predicted direct interactions.","[{'e1': 'MicroRNAs ', 'e2': 'protein expression ', 'relation': 'are important epigenetic regulators of ', 'condition': 'by triggering degradation of target mRNAs '}, {'e1': 'MicroRNAs ', 'e2': 'protein expression ', 'relation': 'are important epigenetic regulators of ', 'condition': 'by inhibiting their translation'}, {'e1': ' expression of these SiM-miRNAs ', 'e2': 'early clinical recurrence', 'relation': ' inverse correlation with', 'condition': 'in human PC tissues'}, {'e1': ' expression of these SiM-miRNAs ', 'e2': 'AR transcriptional activity in human PC tissues', 'relation': ' inverse correlation with', 'condition': 'in human PC tissues'}, {'e1': 'negative feedback loop ', 'e2': ' AR protein expression', 'relation': 'that suppresses', 'condition': ' in an androgen-dependent manner'}, {'e1': 'negative feedback loop ', 'e2': 'upregulation of AR protein expression ', 'relation': 'contributes to the ', 'condition': 'in castration-resistant PC.'}]"
P104P2,"The results from clinical breast cancer samples indicated that PLA2G7 is overexpressed in a subset of breast cancer samples compared to its expression in benign breast tissue samples and that high PLA2G7 expression associated with hormone receptor negativity as well as with poor prognosis in a subset of breast cancer samples. In vitro functional studies highlighted the putative role of PLA2G7 in the regulation of epithelial-mesenchymal transition-related signalling pathways, vimentin and E-cadherin protein expression as well as cell migration in cultured breast cancer cells. Furthermore, supporting the findings in breast and prostate cancer, high PLA2G7 mRNA expression was associated with metastatic cancer in four additional organs of origin. In conclusion, our results indicate that PLA2G7 is highly expressed in a subset of metastatic and aggressive breast cancers and in metastatic samples of various tissues of origin and promotes EMT and migration in cultured breast cancer cells.","[{'e1': 'high PLA2G7 expression ', 'e2': 'hormone receptor negativity', 'relation': 'associated with ', 'condition': 'in a subset of breast cancer samples'}, {'e1': 'high PLA2G7 expression ', 'e2': 'poor prognosis ', 'relation': 'associated with ', 'condition': 'in a subset of breast cancer samples'}, {'e1': 'high PLA2G7 mRNA expression', 'e2': 'metastatic cancer ', 'relation': ' was associated with ', 'condition': 'in four additional organs of origin'}, {'e1': 'PLA2G7 ', 'e2': 'EMT', 'relation': 'promotes ', 'condition': ' in cultured breast cancer cells.'}, {'e1': 'PLA2G7 ', 'e2': ' migration', 'relation': 'promotes ', 'condition': ' in cultured breast cancer cells.'}]"
P188P2,"Endometrial cancer is the fourth leading cancer in women from developed countries. In Europe, the number of new cases was about 100,000 in 2012, with an incidence of 13.6 per 100,000 women. This tumour originates in the inner layer of the uterus when epithelial cells lining the myometrium start to proliferate abnormally. Although most endometrial cancers are diagnosed early, mainly due to symptomatic postmenopausal metrorrhagia, up to 20% of the lesions progress to a high-stage carcinoma. Unfortunately, the five-year survival in this group of women drops to 15%, compared to 90% in women diagnosed with confined disease. Myometrial infiltration and the appearance of disseminated aggressive tumour cells are crucial events for prognosis and death in endometrial cancer. Surgery represents the primary treatment. In addition, patients with high risk of recurrence also receive adjuvant radiotherapy, together with chemotherapy that is restricted to metastatic recurrent disease and high-grade endometrial cancers. However, traditional chemotherapy regimens are less effective in comparison with other cancers. This overview situates the clinical challenge on the identification of new molecular targets and biomarkers associated with a high risk of recurrence and or with response to therapy as valuable tools to improve our management of advanced disease in endometrial cancer.","[{'e1': 'This tumour ', 'e2': 'the inner layer of the uterus ', 'relation': 'originates in ', 'condition': 'when epithelial cells lining the myometrium start to proliferate abnormally'}]"
P11PR8,"Widespread use of prostate-specific antigen (PSA) as a primary screening tool for prostate cancer (PCa) has led to the increased detection of clinically insignificant tumors. It is estimated that up to 60% of men diagnosed by PSA screening have low-risk PCa. Such interventions carry a non-negligible risk of urinary and sexual dysfunction that can adversely affect a man’s quality of life., yet most of these men undergo invasive treatment involving surgery or radiotherapy","[{'e1': '60% of men diagnosed', 'e2': 'low-risk PCa', 'relation': ' have ', 'condition': 'by PSA screening '}]"
P67P1,"The prostanoid thromboxane (TX)A2 plays a central role in haemostasis and is increasingly implicated in cancer progression. TXA2 signals through two T Prostanoid receptor (TP) isoforms termed TPα and TPβ, with both encoded by the TBXA2R gene. Despite exhibiting several functional and regulatory differences, the role of the individual TP isoforms in neoplastic diseases is largely unknown.","[{'e1': 'The prostanoid thromboxane (TX)A2 ', 'e2': 'a central role ', 'relation': 'plays ', 'condition': 'in haemostasis '}]"
P62P3,"PTEN (phosphatase and tensin homolog deleted on chromosome 10; also known as MMAC1 and TEP1) is one of the most frequently altered tumor suppressor genes in cancer, and in particular, prostate cancer. It catalyzes the conversion of the membrane lipid second messenger PIP3 to PIP2 and is therefore a key mediator of the PI3K/Akt pathway. PTEN levels have been identified as being critical in determining the mechanism by which prostate tumors evolve in vivo. PTEN heterozygosity has been shown to promote tumor initiation and proliferation. In addition, primary tumors often show loss or alteration of at least one PTEN allele in 70%–80% of primary prostate cancers, while homozygous inactivation of PTEN is generally associated with advanced cancer and metastasis. Functionally, PTEN is a nonredundant, plasma-membrane lipid phosphatase and its inactivation upregulates PI3K/AKT signaling enhancing protein synthesis, cell migration and tumor-induced angiogenesis. PTEN has been reported to be repressed by oncogenic microRNAs (miRNA), e.g., miRNA-21, -214, -301 in many cancers, suggesting that oncogenic activity of these miRNAs is in part through downregulation of PTEN. Although not much work has been done on oncogenic miRNAs as compared to tumor suppressor miRNAs, it is very interesting that miRNAs may influence carcinogenesis through PTEN regulation.","[{'e1': 'miRNAs ', 'e2': 'carcinogenesis', 'relation': 'may influence ', 'condition': 'through PTEN regulation.'}]"
P139P5,"Prostate cancer is one of the most common cancer types in aging men. There were approximate 220 800 new cases and 27 540 deaths in the United States in 2015. The incidence rate of prostate cancer has also been increasing in Asian populations. Different treatments, including surgical resection, radiological therapy, and androgen deprivation therapy, can be used to treat patients with localized prostate cancer. However, prostate cancer eventually progresses to an androgen-refractory state in most patients, which is also known as castration-resistant prostate cancer. Castration-resistant prostate cancer is relatively resistant to androgen deprivation therapy treatment and can influence approximate 20% of prostate cancer patients in 5 years. However, the underlying mechanisms governing the development and progression of prostate cancer remain unclear.","[{'e1': 'prostate cancer ', 'e2': 'an androgen-refractory state ', 'relation': 'eventually progresses to ', 'condition': 'in most patients'}]"
P115P1,"The RTK/ERK signaling pathway has been implicated in prostate cancer progression. However, the genetic relevance of this pathway to aggressive prostate cancer at the SNP level remains undefined. Here we performed a SNP and gene-based association analysis of the RTK/ERK pathway with aggressive prostate cancer in a cohort comprising 956 aggressive and 347 non-aggressive cases. We identified several loci including rs3217869/CCND2 within the pathway shown to be significantly associated with aggressive prostate cancer. Our functional analysis revealed a statistically significant relationship between rs3217869 risk genotype and decreased CCND2 expression levels in a collection of 119 prostate cancer patient samples. Reduced expression of CCND2 promoted cell proliferation and its overexpression inhibited cell growth of prostate cancer. Strikingly, CCND2 downregulation was consistently observed in the advanced prostate cancer in 18 available clinical data sets with a total amount of 1,095 prostate samples. Furthermore, the lower expression levels of CCND2 markedly correlated with prostate tumor progression to high Gleason score and elevated PSA levels, and served as an independent predictor of biochemical relapse and overall survival in a large cohort of prostate cancer patients. Together, we have identified an association of genetic variants and genes in the RTK/ERK pathway with prostate cancer aggressiveness, and highlighted the potential importance of CCND2 in prostate cancer susceptibility and tumor progression to metastasis.","[{'e1': 'the lower expression levels of CCND2 ', 'e2': 'independent predictor of biochemical relapse and overall survival ', 'relation': 'served as an ', 'condition': 'in a large cohort of prostate cancer patients'}]"
P103P5,"In this study, we focus on analysing the expression pattern of PLA2G7 in breast cancer and investigate the functional role of PLA2G7 in cultured breast cancer cells using genome-wide gene expression analysis, immunohistochemistry and functional assays. The results indicate a role for PLA2G7 in the regulation of metastasis-initiating EMT and cell migration, associate high PLA2G7 mRNA expression with hormone receptor negative aggressive disease and indicate that high PLA2G7 protein expression in lymph node metastases associates with unfavourable prognosis in breast cancer.","[{'e1': ' high PLA2G7 protein expression in lymph node metastases ', 'e2': 'unfavourable prognosis ', 'relation': 'associates with ', 'condition': 'in breast cancer.'}]"
P32P5,"Initial prostate cancer staging is an important diagnostic procedure for patient stratification. During the last years, non-invasive multi-parametric magnetic resonance imaging has been introduced and clinically well established for T-staging in prostate cancer patients. Multi-parametric magnetic resonance imaging (MP-MRI) includes several different MR sequences, i.e., T2w, DW, DCE-MRI and MRS. Due to a very high imaging data volume, reporting standards such as PI-RADS were introduced to harmonize image analysis and improve patient staging outcome.","[{'e1': ' non-invasive multi-parametric magnetic resonance imaging ', 'e2': 'T-staging ', 'relation': 'has been introduced and clinically well established for ', 'condition': 'in prostate cancer patients'}]"
P194P3,"Baseline mean age, PSA, and GPS score for the cohort were 61.1 years, 8 ng/dL, and 32.8. PTEN loss was noted in 38% of patients by fluorescence in situ hybridization and 25% by immunohistochemistry. The concordance between fluorescence in situ hybridization and immunohistochemistry for PTEN loss was 66%. In univariable analysis, loss of PTEN by fluorescence in situ hybridization or immunohistochemistry was associated with BCR and CR. However, after adjusting for GPS results, PTEN loss was not a significant predictor for CR or BCR. The GPS result remained strongly associated with CR and BCR after adjusting for PTEN status. PTEN status and GPS results only weakly correlated. GPS was widely distributed regardless of PTEN status, indicating the biological heterogeneity of PCa even in PTEN-deficient cases.","[{'e1': 'PTEN loss ', 'e2': '38% of patients ', 'relation': 'was noted in ', 'condition': 'by fluorescence in situ hybridization '}, {'e1': 'PTEN loss ', 'e2': '25% of patients ', 'relation': 'was noted in ', 'condition': 'by immunohistochemistry'}, {'e1': ' loss of PTEN by fluorescence in situ hybridization or immunohistochemistry ', 'e2': 'BCR ', 'relation': 'was associated with ', 'condition': ' In univariable analysis'}, {'e1': ' loss of PTEN by fluorescence in situ hybridization or immunohistochemistry ', 'e2': 'CR', 'relation': 'was associated with ', 'condition': ' In univariable analysis'}, {'e1': 'The GPS result ', 'e2': 'CR ', 'relation': 'remained strongly associated with ', 'condition': 'after adjusting for PTEN status'}, {'e1': 'The GPS result ', 'e2': 'BCR ', 'relation': 'remained strongly associated with ', 'condition': 'after adjusting for PTEN status'}]"
P172P4,"Patients with high androgen deprivation therapy Response Signature benefited from adjuvant androgen deprivation therapy. In combination with prognostic risk factors, use of androgen deprivation therapy Response Signature may thus allow for identification of androgen deprivation therapy-responsive tumors that may benefit most from early androgen blockade after radical prostatectomy. We discovered a gene signature that when present in primary prostate tumors may be useful to predict patients who may respond to early androgen deprivation therapy after surgery.","[{'e1': 'a gene signature that when present in primary prostate tumors ', 'e2': 'patients who may respond to early androgen deprivation therapy ', 'relation': 'may be useful to predict ', 'condition': 'after surgery.'}]"
P93P8,"The large number of cancers included in our study enabled us to investigate possible associations of ADAM15 expression with previously established molecular key features of prostate cancer. Our data demonstrate a strong link of ADAM15 expression to ERG activation. In about 50% of tumors, fusion of the androgen receptor-regulated TMPRSS2 gene with ERG leads to AR-stimulated overexpression of ERG, an ETS-transcription factor. ERG is a pioneering factor that modulates transcription of more than 1600 genes, including many AR regulated genes as it opens cryptic AR binding sites in the vicinity of its own recognition site when bound to gene promoters. Cell line models suggesting AR-dependent ADAM15 expression provide a possible mechanistic explanation for the strong association between ADAM15 expression and ERG fusion, which was also observed by others.","[{'e1': ' fusion of the androgen receptor-regulated TMPRSS2 gene with ERG ', 'e2': 'AR-stimulated overexpression of ERG', 'relation': 'leads to ', 'condition': ' In about 50% of tumors'}]"
P159P7,"In conclusion, there are now two systemic therapies, DocP and AAP, which have shown a survival benefit from RCTs when added to treatment of patients starting long-term ADT for the first time. The evidence from our directly randomised data comparing these two therapies showed no evidence of a difference in overall or prostate cancer-specific survival, nor in other important outcomes such as symptomatic skeletal events, suggesting that both currently remain viable new standards-of-care.","[{'e1': ' DocP and AAP ', 'e2': 'RCTs ', 'relation': 'have shown a survival benefit from ', 'condition': 'when added to treatment of patients starting long-term ADT for the first time'}]"
P124P13,"It was reported that c-Flip/Caspase-8 signalling plays a vital role in regulating the extrinsic apoptosis pathway. Our results indicate that TRAF2 overexpression inhibits Caspase-8 activation in TRAIL-treated DU-145 cells, and TRAF2 overexpression upregulates c-Flip expression in TRAIL-treated DU-145 cells. Furthermore, TRAF2 knockdown in DU-145 cells shows consistent results. Hence, it is further confirmed that TRAF2 regulates TRAIL-induced apoptosis in TRAIL-treated human prostate cancer cells via c-Flip/Caspase-8 signalling.","[{'e1': ' TRAF2 overexpression ', 'e2': 'Caspase-8 activation ', 'relation': 'inhibits ', 'condition': 'in TRAIL-treated DU-145 cells'}, {'e1': 'TRAF2 overexpression', 'e2': 'c-Flip expression ', 'relation': ' upregulates ', 'condition': 'in TRAIL-treated DU-145 cells'}, {'e1': 'TRAF2 ', 'e2': ' TRAIL-induced apoptosis ', 'relation': 'regulates', 'condition': 'in TRAIL-treated human prostate cancer cells via c-Flip/Caspase-8 signalling.'}]"
P59P5,"Collectively, we have provided a novel association between Btk and GBM malignancy first by bioinformatics approach followed by in vitro and in vivo validation. Notably, clinical tissue arrays revealed that Btk expression was associated with the later stage of the disease. The role of Btk in GSC generation and ability to resist temozolomide treatment via the increased expression of several key stemness/oncogenic molecules including CD133, Nestin, and phosphorylated Akt was also demonstrated. Perceptively, we provide preclinical evidence to support the usage of ibrutinib with temozolomide for the treatment of GBM in mouse xenograft models. This combination may provide improved therapeutic efficacy for GBM patients in clinical settings.","[{'e1': 'the usage of ibrutinib with temozolomide ', 'e2': 'GBM ', 'relation': 'for the treatment of ', 'condition': 'in mouse xenograft models'}, {'e1': 'This combination ', 'e2': 'GBM patients ', 'relation': 'may provide improved therapeutic efficacy for ', 'condition': 'in clinical settings.'}]"
P96P3,"As a case study, we applied this pipeline to systematically analyze the role of ALDH1A2 in prostate cancer. We have previously found this gene to have multiple roles in disease and homeostasis, and here we investigate the role of the associated ALDH1A2 gene/protein networks in prostate cancer, using our methodology in combination with prostate cancer patient clinical profiles from ICGC and TCGA databases. Relationships between gene signatures and relapse were analyzed using Kaplan–Meier log-rank analysis and multivariable Cox regression. Relative expression versus pooled mean from diploid population was used for z-statistics calculation. Gene/protein interaction network analyses generated 11 core genes associated with ALDH1A2; combinatorial ranking of the power set of these core genes identified two gene sets with significant correlation with disease relapse. For the more significant of these two sets, referred to as the optimal gene set, patients have median survival 62.7 months with optimal gene set alterations compared to more than 150 months without optimal gene set alterations. Two genes comprising the optimal gene set (CYP26A1 and RDH10) are strongly associated with ALDH1A2 in the retinoic acid pathways, suggesting a major role of retinoic acid signaling in early prostate cancer progression. Our pipeline complements human expertise in the search for prognostic biomarkers in large-scale datasets.","[{'e1': ' CYP26A1 and RDH10 ', 'e2': 'ALDH1A2 ', 'relation': 'are strongly associated with ', 'condition': 'in the retinoic acid pathways'}, {'e1': 'Our pipeline ', 'e2': 'human expertise ', 'relation': 'complements ', 'condition': 'in the search for prognostic biomarkers in large-scale datasets.'}]"
P86P7,It has been described that around one fifth of patients experience rapid biochemical progression after RT and these patients may harbor micrometastatic or radioresistant disease and may require a more tailored treatment approach. Thus it it appears to be important to search for clinical and histopathological predictors for rapid biochemical progression.,"[{'e1': 'around one fifth of patients ', 'e2': 'rapid biochemical progression ', 'relation': 'experience ', 'condition': 'after RT'}]"
P113P26,"LIM and SH3 protein 1, a promoter of cell proliferation and migration, play a significant role in cancer development and progression. LASP-1 is involved in numerous biological and pathological processes. It plays an important role in the regulation of dynamic actin-based and cytoskeletal activities. LASP-1 is highly expressed in the central nervous system and contributes to the formation and progression of prostate cancer through a NF-KB pathway.","[{'e1': 'LASP-1 ', 'e2': 'formation of prostate cancer ', 'relation': 'contributes to the ', 'condition': 'through a NF-KB pathway.'}, {'e1': 'LASP-1 ', 'e2': 'progression of prostate cancer ', 'relation': 'contributes to the ', 'condition': 'through a NF-KB pathway.'}]"
P73P9,"Consistent with our prior observations, we found that somatic loss-of-function mutations in MSH2 and MSH6 were the primary cause of microsatellite instability in patients with prostate cancer. This is in contrast to colorectal cancer where hypermutation has been found to be associated with epigenetic silencing of MLH1, which occurs in nearly 2/3 of the cases. Interestingly, the tumor of Subject #2 showed evidence of MSH2 inversion without clear evidence of hypermutation or MSI. Whether the MSH2 loss-of-function alteration represents an early event and hypermutation is a later consequence in the disease course or follows selective pressures of treatment will need to be further examined. Given that the mechanisms underlying prostate cancer hypermutation appear distinct from colorectal cancer, patterns of MSI may also be divergent and a tailored approach to MSI testing of prostate cancer may be needed. However, our findings suggest that ductal histology may be a cue to investigate further for evidence of MMR deficiency and hypermutation.","[{'e1': 'somatic loss-of-function mutations in MSH2 and MSH6', 'e2': 'microsatellite instability ', 'relation': ' were the primary cause of ', 'condition': 'in patients with prostate cancer'}, {'e1': 'hypermutation ', 'e2': 'epigenetic silencing of MLH1', 'relation': 'has been found to be associated with ', 'condition': 'in colorectal cancer'}]"
P177P7,"In this study, we have comparatively analyzed the expression of genes encoding IFN-γ, TNF-α, and their receptors in prostate cancer and in benign prostatic hyperplasia tissues. Moreover, we have investigated the ability of these cytokines to induce in prostate cancer cells the production of factors promoting tumor progression through the inhibition of adaptive immune responses and or the activation of alternative pathways for the androgen receptor. Finally, we have addressed the prognostic significance of factors induced by IFN-γ and TNF-α in prostate cancer cells and their potential predictive power when detected in urine of individuals at risk of developing this malignancy.","[{'e1': ' cytokines ', 'e2': 'the production of factors promoting tumor progression ', 'relation': 'induce ', 'condition': 'in prostate cancer cells'}, {'e1': 'production of factors ', 'e2': 'tumor progression ', 'relation': 'promoting ', 'condition': 'through the inhibition of adaptive immune responses '}, {'e1': 'production of factors ', 'e2': 'tumor progression ', 'relation': 'promoting ', 'condition': 'through activation of alternative pathways for the androgen receptor'}]"
P83P4,"Several studies have provided evidence for paracrine HH signaling in human and mouse PCa, a cellular relationship resembling the epithelial-to-stromal HH signaling in developing and adult mouse prostates. Autocrine HH signaling in PCa epithelial cells has also been reported, particularly in advanced and metastatic PCa specimens. Given the questionable reliability of antibodies to HH pathway components, the highly heterogeneous nature of PCa, and the difficulty of effectively separating tumor cells from the stroma, we have taken advantage of mouse genetic tools to study HH signaling in vivo during PCa progression in mouse models.","[{'e1': 'HH ', 'e2': ' in mouse models.', 'relation': 'signaling in vivo ', 'condition': 'during PCa progression'}, {'e1': 'HH ', 'e2': 'during PCa progression', 'relation': 'signaling in vivo ', 'condition': ' in mouse models.'}]"
P99P14,"In a large multicenter sample of men with adverse pathologic features with the longest follow-up to date, the Decipher genomic classifier demonstrated a potentially clinically important improvement in prediction of prostate cancer-specific mortality at 10 years in all men, as well as in subgroups considered high risk based on prostate-specific antigen, stage, or Gleason score, and very high risk men who experienced early biochemical recurrence, or who developed metastasis after radical prostatectomy. Adding the genomic classifier to a model with either CAPRA-S or individual clinical variables improved prediction of prostate cancer-specific mortality within 10 years, and identified subgroups of men with very low risk of prostate cancer-specific mortality at 10 years who may be suitable for conservative postsurgical management, and men with very high risk who may require more aggressive therapy. Clinical trials are needed to determine whether the combination of the Decipher genomic classifier and CAPRA-S can improve treatment assignment and outcomes compared to clinical variables alone.","[{'e1': 'the Decipher genomic classifier ', 'e2': 'potentially clinically important improvement ', 'relation': 'demonstrated a ', 'condition': 'in prediction of prostate cancer-specific mortality at 10 years in all men'}, {'e1': 'the Decipher genomic classifier ', 'e2': 'potentially clinically important improvement ', 'relation': 'demonstrated a ', 'condition': ' in subgroups considered high risk based on prostate-specific antigen'}, {'e1': 'very high risk men ', 'e2': 'early biochemical recurrence', 'relation': 'experienced ', 'condition': 'after radical prostatectomy'}, {'e1': 'very high risk men ', 'e2': 'metastasis', 'relation': 'developed ', 'condition': 'after radical prostatectomy'}]"
P139P8,"In this report, our findings showed that CPNE1 expression is significantly increased in prostate cancer. CPNE1 expression is related to tumor stage and Gleason score. A novel finding is that CPNE1 expression is significantly related to TRAF2 expression. CPNE1 overexpression can upregulate TRAF2 expression in prostate cancer DU-145 cells. Overall, CPNE1 is a novel prognostic factor to predict biochemical recurrence-free survival and is positively related to TRAF2 expression in prostate cancer.","[{'e1': ' CPNE1 overexpression ', 'e2': 'TRAF2 expression ', 'relation': 'can upregulate ', 'condition': 'in prostate cancer DU-145 cells'}, {'e1': 'CPNE1 ', 'e2': 'TRAF2 expression ', 'relation': 'is positively related to ', 'condition': 'in prostate cancer.'}]"
P128P2,"Prostate cancer (PC) is the most common male- specific malignancy in the developed world. The disease progresses with a heterogeneous path. A large proportion of the low- grade [Gleason score 6/WHO grade (group) I] tumors are indolent. Approximately 30% of patients after radical prostatectomy (RP) will experience a rise in serum prostate- specific antigen (PSA); this biochemical recurrence (BR) significantly increases risk of PC metastasis and the development of castration- resistant prostate cancer (CRPC). PC predominantly metastasizes to the bone; the standard treatment for this condition is androgen deprivation therapy (ADT). The treatment is palliative, and patients eventually develop CRPC. Although the recent developments have resulted in three sets of mRNA- based signatures, Oncotype DX (Genomic Prostate Score/GPS), Prolaris, and Decipher (Genomic Classifier), that evaluate the risk of PC progression, our ability to stratify PCs with high risk of progression remains poor. It is therefore critical to improve our understanding of factors contributing to PC recurrence, metastasis, and CRPC.","[{'e1': ' 30% of patients ', 'e2': 'a rise in serum prostate- specific antigen (PSA)', 'relation': 'will experience ', 'condition': 'after radical prostatectomy (RP) '}]"
P36P4,"We performed a meta-analysis of the expression of an androgen-regulated gene set across datasets using Oncomine. Differential expression of selected genes in the prostate TCGA database was probed using the edgeR Bioconductor package. Changes in tumour PSA density with stage and grade were assessed by Student’s t-test, and its association with biochemical recurrence explored by Kaplan-Meier curves and Cox regression.","[{'e1': ' Differential expression of selected genes', 'e2': 'the edgeR Bioconductor package', 'relation': ' was probed using ', 'condition': ' in the prostate TCGA database'}]"
P72P6,"As potential biomarkers, epigenetic modifications such as hyper- or hypomethylation of tumor-related genes have lately emerged as one of the key alterations in cancer development. Aberrant patterns of methylation have aroused interest in the molecular subclassification of urologic tumors and might potentially serve as prognostic and predictive biomarkers in PCa. Furthermore, DNA is a highly robust cellular element that can be extracted reliably from different materials, e.g., fresh tissue, formalin-fixed paraffin-embedded tissue (FFPET), and body fluids.","[{'e1': 'epigenetic modifications ', 'e2': 'one of the key alterations', 'relation': 'have lately emerged as ', 'condition': ' in cancer development.'}, {'e1': 'Aberrant patterns of methylation ', 'e2': 'prognostic and predictive biomarkers ', 'relation': 'might potentially serve as ', 'condition': 'in PCa'}]"
P22P11,"Despite these limitations, our findings are particularly intriguing and provide a unique, more individualized approach to managing men receiving SRT post-RP. Indeed, the GC biomarker provides accurate and comprehensive insight regarding tumor aggressiveness in these individuals. Specifically, this biomarker accurately down-staged almost 50% of patients predicted to harbor very aggressive tumors by clinical features. Most importantly, it accurately identifies a group of men with a 33% 5-yr risk of metastases despite SRT who may be excellent candidates for inclusion into clinical trials for novel therapies due to their very high-risk of metastases despite local salvage therapy.","[{'e1': 'the GC biomarker ', 'e2': 'tumor aggressiveness ', 'relation': 'provides accurate and comprehensive insight regarding ', 'condition': 'in these individuals'}]"
P61P2,"Prostate cancer is the most common male malignancy worldwide and a leading cause of cancer related mortality amongst men with an estimated 26,120 deaths predicted for 2016 within the US. Prostate tumors are often indolent and can be effectively managed by active surveillance and watchful waiting. However, a significant proportion of prostate tumors are likely to progress, often metastasizing to bone and other organs causing significant morbidity and mortality. Though novel therapies with marginal survival benefits have been developed for advanced disease, its clinical management remains challenging. Also, prostate cancer is associated with high rates of recurrence, with approximately 40% of men with localized prostate cancer suffering from relapse after initial therapy as monitored by rising PSA and tumor progression to a hormone refractory/castration resistant stage that is essentially untreatable. A major challenge is the elucidation of underlying molecular pathways of prostate cancer progression, recurrence and metastasis that holds enormous potential towards the design of effective therapeutic strategies for better clinical management of the disease.","[{'e1': ' approximately 40% of men with localized prostate cancer', 'e2': 'relapse ', 'relation': ' suffering from ', 'condition': 'after initial therapy '}]"
P24P2,"Prostate cancer (PCa) is the most common cancer in men in the US. The natural history and clinical course of PCa is very heterogeneous: some are indolent with little effect on overall lifespan, whereas others can progress to lethal metastatic disease. The test commonly used to screen for PCa is the prostate specific antigen test (PSA); however, many other factors can affect PSA levels and result in high false-positive findings. Furthermore, current therapeutic modalities have complications that may lead to significant morbidity. Therefore, new methods are needed to distinguish indolent cancers from their aggressive counterparts.","[{'e1': 'Prostate cancer (PCa) ', 'e2': ' cancer in men ', 'relation': 'is the most common', 'condition': 'in the US'}]"
P124P8,"The tumor necrosis factor receptor-associated factor 2, also known as a signalling adaptor, belongs to the TRAF superfamily, which consists of TRAF1 to 7 in mammals. One of these functions is to serve as an adaptor protein in the assembly of receptor-associated signalling complexes and to link upstream receptors to downstream molecules. TRAF2 is an important member of these TRAFs. Zhang et al. found that TRAF2 expression was significantly increased in gastric cancer patients, which might be an independent diagnostic and prognostic indicator in gastric cancer patients. In addition, TRAF2 expression was upregulated in malignant pleural effusion cells compared with normal breast tissues. TRAF2 in malignant pleural effusion cells might be a potential prognostic factor and biomarker for predicting invasion and metastasis of breast cancer. Currently, TRAF2 expression in prostate cancer and mechanisms governing the development and progression of prostate cancer are still unknown. We speculate that TRAF2 may affect growth of prostate cancer cells via regulating TRAIL-induced apoptosis.","[{'e1': ' TRAF2 ', 'e2': ' invasion and metastasis of breast cancer', 'relation': 'might be a potential prognostic factor and biomarker for predicting', 'condition': 'in malignant pleural effusion cells '}, {'e1': 'TRAF2 ', 'e2': 'growth of prostate cancer cells ', 'relation': 'may affect ', 'condition': 'via regulating TRAIL-induced apoptosis.'}]"
